"date","hits","keyword","geo","time","gprop","category"
2024-08-16,7,"Kamala Harris","US","2024-08-01 2024-11-04","web",0
2024-08-17,6,"Kamala Harris","US","2024-08-01 2024-11-04","web",0
2024-08-18,7,"Kamala Harris","US","2024-08-01 2024-11-04","web",0
2024-08-19,6,"Kamala Harris","US","2024-08-01 2024-11-04","web",0
2024-08-20,10,"Kamala Harris","US","2024-08-01 2024-11-04","web",0
2024-08-21,13,"Kamala Harris","US","2024-08-01 2024-11-04","web",0
2024-08-22,12,"Kamala Harris","US","2024-08-01 2024-11-04","web",0
2024-08-23,28,"Kamala Harris","US","2024-08-01 2024-11-04","web",0
2024-08-24,9,"Kamala Harris","US","2024-08-01 2024-11-04","web",0
2024-08-25,7,"Kamala Harris","US","2024-08-01 2024-11-04","web",0
2024-08-26,6,"Kamala Harris","US","2024-08-01 2024-11-04","web",0
2024-08-27,6,"Kamala Harris","US","2024-08-01 2024-11-04","web",0
2024-08-28,5,"Kamala Harris","US","2024-08-01 2024-11-04","web",0
2024-08-29,7,"Kamala Harris","US","2024-08-01 2024-11-04","web",0
2024-08-30,10,"Kamala Harris","US","2024-08-01 2024-11-04","web",0
2024-08-31,5,"Kamala Harris","US","2024-08-01 2024-11-04","web",0
2024-09-01,5,"Kamala Harris","US","2024-08-01 2024-11-04","web",0
2024-09-02,5,"Kamala Harris","US","2024-08-01 2024-11-04","web",0
2024-09-03,4,"Kamala Harris","US","2024-08-01 2024-11-04","web",0
2024-09-04,5,"Kamala Harris","US","2024-08-01 2024-11-04","web",0
2024-09-05,4,"Kamala Harris","US","2024-08-01 2024-11-04","web",0
2024-09-06,4,"Kamala Harris","US","2024-08-01 2024-11-04","web",0
2024-09-07,4,"Kamala Harris","US","2024-08-01 2024-11-04","web",0
2024-09-08,4,"Kamala Harris","US","2024-08-01 2024-11-04","web",0
2024-09-09,4,"Kamala Harris","US","2024-08-01 2024-11-04","web",0
2024-09-10,6,"Kamala Harris","US","2024-08-01 2024-11-04","web",0
2024-09-11,31,"Kamala Harris","US","2024-08-01 2024-11-04","web",0
2024-09-12,11,"Kamala Harris","US","2024-08-01 2024-11-04","web",0
2024-09-13,9,"Kamala Harris","US","2024-08-01 2024-11-04","web",0
2024-09-14,7,"Kamala Harris","US","2024-08-01 2024-11-04","web",0
2024-09-15,7,"Kamala Harris","US","2024-08-01 2024-11-04","web",0
2024-09-16,5,"Kamala Harris","US","2024-08-01 2024-11-04","web",0
2024-09-17,5,"Kamala Harris","US","2024-08-01 2024-11-04","web",0
2024-09-18,5,"Kamala Harris","US","2024-08-01 2024-11-04","web",0
2024-09-19,5,"Kamala Harris","US","2024-08-01 2024-11-04","web",0
2024-09-20,6,"Kamala Harris","US","2024-08-01 2024-11-04","web",0
2024-09-21,6,"Kamala Harris","US","2024-08-01 2024-11-04","web",0
2024-09-22,6,"Kamala Harris","US","2024-08-01 2024-11-04","web",0
2024-09-23,5,"Kamala Harris","US","2024-08-01 2024-11-04","web",0
2024-09-24,5,"Kamala Harris","US","2024-08-01 2024-11-04","web",0
2024-09-25,6,"Kamala Harris","US","2024-08-01 2024-11-04","web",0
2024-09-26,5,"Kamala Harris","US","2024-08-01 2024-11-04","web",0
2024-09-27,4,"Kamala Harris","US","2024-08-01 2024-11-04","web",0
